text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"L'influenza come le pene d'amore: l'ultima risveglia tutte le ferite, anche quelle che non ricordavi più da anni.",FALSE,0,NA,2019-03-08T20:54:38Z,FALSE,NA,1104123279550361600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",limpinghawke,0,FALSE,FALSE,NA,NA
"#Immunology #Influenza

https://t.co/AhS8qLCVOq",FALSE,0,NA,2019-03-08T20:53:15Z,FALSE,NA,1104122935084834817,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",edwinvanbloois,0,FALSE,FALSE,NA,NA
Is Influenza vegan?,FALSE,0,NA,2019-03-08T20:52:20Z,FALSE,NA,1104122701084614657,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DossKenli,0,FALSE,FALSE,NA,NA
"#Pioggia , #neve , #influenza .. è stato davvero un duro #inverno , ma finalmente è finito e quale modo migliore pe… https://t.co/D4sSTWaych",FALSE,0,NA,2019-03-08T20:50:46Z,TRUE,NA,1104122306006274049,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MTV_Lombardia,0,FALSE,FALSE,NA,NA
Researchers studying neuroinflammation + patients who’s chronic conditions started w/ a viral #infection need to re… https://t.co/93wT3APNSo,FALSE,14,NA,2019-03-08T20:49:38Z,TRUE,NA,1104122023746318341,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",microbeminded2,3,FALSE,FALSE,NA,NA
@RandPaul @KelleyAshbyPaul This is a derliction of duty! This is NOT just about drugs &amp; cartels!!! U remember all t… https://t.co/R5SLil6Uq3,FALSE,0,GhostWr71573197,2019-03-08T20:46:49Z,TRUE,1104120882933321728,1104121313944264704,1019457277881827328,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GhostWr71573197,1,FALSE,FALSE,NA,NA
"@DavidPuente Basta solo aver l’influenza e/o aver mangiato troppo e male e anch’io, Bolognese doc, spinto dalla dis… https://t.co/IONxOHdKq9",FALSE,0,DavidPuente,2019-03-08T20:46:30Z,TRUE,1103980498639044609,1104121236219678726,52036241,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Geostudiolab,0,FALSE,FALSE,NA,NA
A pill to banish influenza in the works as scientists invent drug mimicking the immune system… https://t.co/bYjk7Kdbbc,FALSE,0,NA,2019-03-08T20:43:09Z,TRUE,NA,1104120391818203136,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",wilsonjmashaka,0,FALSE,FALSE,NA,NA
"Influenza activity remains the same since last week in the District for Week 9 (February 24, 2019 – March 2, 2019).… https://t.co/IOt7ezq3Rc",FALSE,0,NA,2019-03-08T20:42:28Z,TRUE,NA,1104120218681524224,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",_DCHealth,0,FALSE,FALSE,NA,NA
(Llama secretaría de salud a no bajar la guardia contra la influenza) - https://t.co/WisQ6zjW6m https://t.co/HDXjDjKL9l,FALSE,0,NA,2019-03-08T20:36:57Z,FALSE,NA,1104118829737758721,NA,"<a href=""https://interdiario.com.mx"" rel=""nofollow"">InterdiarioMX</a>",interdiario,0,FALSE,FALSE,NA,NA
@joshtpm could be influenza easy to confuse the two,FALSE,0,joshtpm,2019-03-08T20:35:42Z,FALSE,1104088596464713729,1104118517828411392,21268897,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BobZentrails,0,FALSE,FALSE,NA,NA
@_JosephUdofia @MrKakaki @iamridwanbello_ Ofonime my great friend ders no influenza money,FALSE,0,_JosephUdofia,2019-03-08T20:35:31Z,FALSE,1104116308281569280,1104118468700487681,382868397,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ifeoluwahh,0,FALSE,FALSE,NA,NA
"Due to an uptick in influenza cases in the community and throughout the state, we have implemented temporary visito… https://t.co/vBTJ3Hvug8",FALSE,0,NA,2019-03-08T20:33:01Z,TRUE,NA,1104117839445872641,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",winonahealth,0,FALSE,FALSE,NA,NA
"とはいえ、いつ、突然インフルエンザにかかってしまうかは、分からないのです。

https://t.co/YiuOe5Xhru
人生で１度もインフルエンザにかかったことがない人の割合や４つの特徴。",FALSE,0,NA,2019-03-08T20:30:32Z,FALSE,NA,1104117218109927424,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",megu30810198120,0,FALSE,FALSE,NA,NA
"#Entérate l El secretario de Salud, Marco Antonio Cantú Cuevas, recomendó mantener las medidas básicas de higiene,… https://t.co/DWNYZJOQG1",FALSE,0,NA,2019-03-08T20:30:11Z,TRUE,NA,1104117127634698245,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",EnSerioNoticias,0,FALSE,FALSE,NA,NA
"INFLUENZA, INFLUENZA EVERYWHERE",FALSE,1,Bebo_alexxpt2,2019-03-08T20:30:01Z,FALSE,1104116721579900928,1104117085158952961,1026386541416009728,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bebo_alexxpt2,0,FALSE,FALSE,NA,NA
@bandom_blackery Cherry Influenza,FALSE,1,bandom_blackery,2019-03-08T20:29:25Z,FALSE,1103928675865583616,1104116934545686529,761858368264888321,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sentinal_x,0,FALSE,FALSE,NA,NA
I would like to thank all the researchers at the CDC this year for making sure my influenza vaccine did nothing.,FALSE,0,NA,2019-03-08T20:29:24Z,FALSE,NA,1104116931508895744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",beerjudge1320,0,FALSE,FALSE,NA,NA
@stefancrisan Influenza e allergia 😕,FALSE,1,stefancrisan,2019-03-08T20:29:23Z,FALSE,1104104837724164100,1104116926337433602,74703549,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Olty86,0,FALSE,FALSE,NA,NA
"Clinical Practice Guidelines by the Infectious Diseases Society of America: 2018 Update on Diagnosis, Treatment, Ch… https://t.co/5lPAdj8Y6u",FALSE,0,NA,2019-03-08T20:29:20Z,TRUE,NA,1104116912223588352,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MicrobLog_me_uk,0,FALSE,FALSE,NA,NA
@ifeoluwahh @MrKakaki @iamridwanbello_ When are you sharing Influenza Money,FALSE,0,ifeoluwahh,2019-03-08T20:26:56Z,FALSE,1104115693451177984,1104116308281569280,487391518,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_JosephUdofia,0,FALSE,FALSE,NA,NA
Improving researchers' abilities to forecast epidemics: An annual influenza season… https://t.co/RPG9sMDHRW,FALSE,0,NA,2019-03-08T20:26:45Z,FALSE,NA,1104116266040770561,NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",mikeliveira,0,FALSE,FALSE,NA,NA
Con motivo del #DíaInternacionalDeLaMujer se realizó Jornada con exámenes preventivos gratuitos y charlas informati… https://t.co/cEodhIOWye,FALSE,0,NA,2019-03-08T20:26:11Z,TRUE,NA,1104116121479860226,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ConsulMexCho,0,FALSE,FALSE,NA,NA
"@esteban_is Pues yo si quiero que diga, cambia el pinche clima y ya ando con influenza, neumonia, pulmonía, falla d… https://t.co/TwbNX3Fo1g",FALSE,0,esteban_is,2019-03-08T20:26:03Z,TRUE,1104049305189408768,1104116087979995136,24955197,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dondeestaabe,0,FALSE,FALSE,NA,NA
The State Veterinarian has announced that several horses returning from out-of-state events have been sickened by e… https://t.co/UciTcqeL5Z,FALSE,2,NA,2019-03-08T20:25:33Z,TRUE,NA,1104115960707985410,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TNAgriculture,2,FALSE,FALSE,NA,NA
"Economic Losses and Implications of Highly Pathogenic Avian Influenza (HPAI) H5N1 Resurgence in Nigeria
Ayi Vandi... https://t.co/TDkjusDFD0",FALSE,0,NA,2019-03-08T20:24:22Z,FALSE,NA,1104115663990333440,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",ijser_research,0,FALSE,FALSE,NA,NA
"yep, we’re seeing a *ton* of this in vermont, mostly pneumococcus (https://t.co/9wyVZAcf4R).  maybe related to the… https://t.co/wkWvmFgETm",FALSE,4,NA,2019-03-08T20:24:03Z,TRUE,NA,1104115586525773824,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PulmCrit,1,FALSE,FALSE,NA,NA
#WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Over… https://t.co/H34NLnxiWJ,FALSE,10,NA,2019-03-08T20:22:41Z,TRUE,NA,1104115240680243200,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TheWWImuseum,7,FALSE,FALSE,NA,NA
@gfctves Siamo passati dalla cattiva influenza alla retta via che progressi :),FALSE,1,gfctves,2019-03-08T20:21:02Z,FALSE,1104114310417211393,1104114826475945984,947948606102925315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kandiesss,0,FALSE,FALSE,NA,NA
A pill to banish influenza in the works as scientists invent drug mimicking the immune system… https://t.co/lwAcWUBaT6,FALSE,0,NA,2019-03-08T20:18:07Z,TRUE,NA,1104114089901678592,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",HabariCloud,0,FALSE,FALSE,NA,NA
"What can you do with an APSIA / @fordschool degree? 

Hack for #globalhealth and tackle wicked problems with the Sk… https://t.co/FnIiwgI0fO",FALSE,1,NA,2019-03-08T20:17:34Z,TRUE,NA,1104113954131980288,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",apsiainfo,0,FALSE,FALSE,NA,NA
"Ma poi mi avesse scritto almeno un messaggio dalle 6 di stamattina quando mi ha detto che non veniva a scuola, ogni… https://t.co/CtdjMfEZzM",FALSE,0,KIND0FMAGIC_,2019-03-08T20:17:09Z,TRUE,1104106014553661441,1104113847969951746,815983742,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KIND0FMAGIC_,0,FALSE,FALSE,NA,NA
"Me: Time to buckle down and get some of this thesis work I've been putting off done
Influenza: https://t.co/2znrbr89I0",FALSE,3,NA,2019-03-08T20:15:18Z,FALSE,NA,1104113382213337088,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yungvanzant,0,FALSE,FALSE,NA,NA
"Svolgere una forte protezione psichica alla vostra casa vi permetterà di dormire bene durante la notte, svegliarvi… https://t.co/9pz4vFNFLN",FALSE,1,NA,2019-03-08T20:14:57Z,TRUE,NA,1104113292715454465,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ACD_official,1,FALSE,FALSE,NA,NA
Yo pensaba que me habia dado Influenza...turns out it was just my anxiety. Moving on.,FALSE,0,NA,2019-03-08T20:13:37Z,FALSE,NA,1104112957783461888,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_RitaOral,0,FALSE,FALSE,NA,NA
Ante la presencia de síntomas recomienda acudir a la unidad médica más cercana para evitar complicaciones https://t.co/GlUiu4ALrR,FALSE,0,NA,2019-03-08T20:12:09Z,FALSE,NA,1104112590983069697,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Quadratin_Mor,0,FALSE,FALSE,NA,NA
